DATE,AWND,CLDD,DP01,DP10,DP1X,DT32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMXP,EMXT,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,Harvested_Acres,Planted_Acres,Yld_trays,Yld_tons,Value_trays,Value_tons,Frzn_tons,Frzn_Value,Mrkt _Value ,Proc_Value,Total_Value
1959-01-01,0,75,24,15,2,8,198,6,211,0,1,-2,40,37,1331,1331,185,15,21,8,0,0,0,0,0,0,0,0,898,0,649309,8460,1603384,2881061,3987,0,411,280,2881061
1960-01-01,0,35,37,31,4,16,115,0,211,0,1,-6,48,32,1502,1502,402,14,20,8,0,0,0,0,0,0,0,0,798,0,0,8745,0,3015700,0,0,416,288,3015700
1961-01-01,0,66,32,14,2,10,149,6,206,0,1,-2,33,38,1752,1752,149,14,20,7,0,0,0,0,0,0,0,0,821,821,0,11410,0,3518000,0,0,406,210,3518000
1962-01-01,0,23,41,24,5,17,120,1,234,0,1,-4,47,39,1856,1856,353,13,19,7,0,0,0,0,0,0,0,0,827,827,0,10710,0,3308000,0,0,392,230,3308000
1963-01-01,0,37,54,31,3,25,147,1,187,0,2,-5,39,33,1734,1734,363,14,20,8,0,0,0,0,0,0,0,0,820,820,0,10640,0,3815000,0,0,440,227,3815000
1964-01-01,0,31,54,24,1,51,131,6,188,0,3,-4,34,37,1920,1920,252,13,20,6,0,0,0,0,0,0,0,0,718,718,0,12580,0,4763000,0,0,443,280,4763000
1965-01-01,0,68,51,32,2,16,166,9,17,7,0,-3,48,38,1842,1842,342,14,20,7,0,0,0,0,0,0,0,0,682,682,0,9770,0,4142000,0,0,470,350,4142000
1966-01-01,0,45,36,17,1,31,167,10,0,0,0,-5,26,37,1686,1686,190,14,20,7,0,0,0,0,0,0,0,0,544,544,0,6940,0,2962000,0,0,490,330,2962000
1967-01-01,0,43,60,34,2,19,176,4,0,0,0,-6,49,34,1830,1830,352,14,20,7,0,0,0,0,0,0,0,0,630,630,0,10080,0,4390000,0,0,478,285,4390000
1968-01-01,0,52,39,24,1,12,193,6,0,0,0,-3,28,37,1399,1399,207,15,21,8,0,0,0,0,0,0,0,0,600,600,0,10200,0,4628000,0,0,508,300,4628000
1969-01-01,0,18,53,33,4,5,154,0,0,0,0,-3,57,31,1569,1569,472,14,20,8,0,0,0,0,0,0,0,0,580,580,0,10790,0,5193000,0,0,516,330,5193000
1970-01-01,0,45,50,24,3,13,129,7,0,0,0,-4,55,38,1485,1485,337,14,20,7,0,0,0,0,0,0,0,0,550,550,0,10890,0,4627000,0,0,481,320,4627000
1971-01-01,0,53,40,20,0,47,128,5,0,0,0,-6,19,37,2064,2064,168,13,19,6,0,0,0,0,0,0,0,0,540,540,0,9580,0,4025000,0,0,450,280,4025000
1972-01-01,0,40,28,15,1,26,166,2,0,0,0,-4,27,34,1882,1882,172,14,20,7,0,0,0,0,0,0,0,0,526,526,0,14202,0,6284030,0,0,515,340,6284030
1973-01-01,0,62,59,34,7,14,149,10,0,0,0,-6,50,39,1807,1807,502,14,20,7,0,0,0,0,0,0,0,0,536,536,0,11524,0,6340000,0,0,578,410,6340000
1974-01-01,0,24,39,23,3,13,155,1,0,0,0,-5,74,35,1833,1833,405,14,20,8,0,0,0,0,0,0,0,0,555,555,0,12210,0,6541800,0,0,580,400,6541800
1975-01-01,0,19,40,24,1,36,145,2,0,0,0,-6,43,37,1855,1855,215,13,19,7,0,0,0,0,0,0,0,0,642,642,0,15087,0,8023320,0,0,600,360,8023320
1976-01-01,0,86,40,20,2,28,206,9,0,0,0,-7,44,39,1788,1788,302,14,21,7,0,0,0,0,0,0,0,0,738,738,0,15498,0,11236050,0,0,800,485,11236050
1977-01-01,0,51,35,17,4,22,186,1,0,0,0,-2,36,33,1540,1540,252,14,21,8,0,0,0,0,0,0,0,0,774,774,0,19350,0,11455200,0,0,640,440,11455200
1978-01-01,0,50,62,41,8,24,162,6,0,0,0,-7,56,39,1270,1270,655,14,21,8,0,0,0,0,0,0,0,0,858,858,0,13299,0,8006210,0,0,660,365,8006210
1979-01-01,0,56,47,32,1,18,191,5,0,0,0,-4,29,36,1843,1843,338,14,21,7,0,0,0,0,0,0,0,0,823,823,0,16200,0,10842000,0,0,685,600,10842000
1980-01-01,0,48,45,26,3,13,170,3,0,0,0,-1,37,36,1445,1445,342,14,21,8,0,0,0,0,0,0,0,0,836,836,0,16804,0,12040276,0,0,774,595,12040276
1981-01-01,0,53,43,29,4,5,178,3,0,0,0,-1,37,38,1443,1443,384,15,21,8,0,0,0,0,0,0,0,0,750,750,0,12600,0,10080000,0,0,860,620,10080000
1982-01-01,0,36,63,44,2,20,157,0,0,0,0,-3,29,31,1608,1608,432,14,20,8,0,0,0,0,0,0,0,0,924,924,0,29800,0,27382000,0,0,958,670,27382000
1983-01-01,0,226,78,54,4,4,193,14,0,0,0,-1,45,38,1434,1434,680,16,22,10,0,0,0,0,0,0,0,0,996,996,0,30378,0,24429200,0,0,900,690,24429200
1984-01-01,4,240,41,19,0,12,207,13,157,48,1,-2,24,37,1273,1273,190,15,22,8,0,0,0,0,0,0,0,0,1203,1203,0,36665,0,31046469,0,0,908,301,31046469
1985-01-01,4,128,40,21,0,27,194,9,163,39,1,-4,22,40,1445,1445,199,15,21,8,0,0,0,0,0,0,0,0,1616,1616,7150832,0,0,41045776,0,0,0,0,41045776
1986-01-01,4,18,41,22,4,6,212,3,195,47,3,-3,35,33,1362,1362,354,15,21,8,0,0,0,0,0,0,0,0,1687,1687,7524020,0,0,43714556,0,0,0,0,43714556
1987-01-01,4,38,47,23,1,30,160,5,181,35,8,-6,55,42,1573,1573,301,14,20,7,0,0,0,0,0,0,0,0,2611,2611,10242953,0,0,57462966,0,0,0,500,57462966
1988-01-01,4,79,39,23,3,17,188,5,165,29,4,-3,32,36,1564,1564,286,14,21,8,0,0,0,0,0,0,0,0,3428,3428,10000504,0,0,59302966,0,0,0,560,59302966
1989-01-01,4,56,28,14,0,17,198,9,154,26,1,-4,10,39,1597,1597,84,14,21,8,0,0,0,315,0,0,0,21,4617,4617,14147226,0,0,74838825,0,0,0,526,74838825
1990-01-01,4,52,34,22,0,26,205,2,160,39,3,-6,17,33,1475,1475,154,14,21,8,0,0,0,315,13,0,0,21,4530,4530,11903815,0,0,64399639,0,0,0,590,67399639
1991-01-01,4,34,34,26,6,9,165,2,165,31,5,-2,80,34,1635,1635,422,14,20,8,300,0,0,135,14,0,0,23,5014,5014,11671850,0,0,82297364,0,0,0,500,82297364
1992-01-01,4,61,52,26,3,10,217,2,136,34,4,-2,42,35,1218,1218,351,15,22,9,0,0,0,315,14,0,0,18,5280,5280,9777662,0,0,56779539,0,0,0,494,56779539
1993-01-01,4,64,51,29,4,6,216,6,150,20,4,-2,56,35,1274,1274,413,15,21,8,260,0,0,0,16,0,0,0,6041,6041,8751234,0,0,70585655,0,0,0,510,70585644
1994-01-01,4,34,47,33,1,14,153,3,149,39,0,-3,27,35,1418,1418,319,14,20,7,140,0,0,135,13,0,0,19,4376,4376,8824685,0,0,68236779,0,0,0,581,68236779
1995-01-01,4,40,62,40,6,1,179,5,166,36,1,0,77,36,1627,1627,633,15,21,9,300,0,0,135,31,0,0,24,4497,4497,10113079,0,0,78067902,0,0,0,485,78067902
1996-01-01,0,86,59,35,5,3,173,7,159,53,0,-1,39,36,1256,1256,460,15,21,8,0,0,0,0,0,0,0,0,4548,4548,11243156,0,0,64327191,0,0,0,387,64327191
1997-01-01,3,157,39,24,3,11,201,10,233,59,0,-3,29,36,1458,1458,291,15,22,8,0,290,300,0,0,17,19,0,3373,3373,10223259,0,0,68503889,0,0,0,558,68503889
1998-01-01,3,58,82,45,8,12,152,1,244,76,1,-6,49,32,1369,1369,718,14,20,8,0,130,150,0,0,21,26,0,3281,3281,6794065,0,0,71393391,0,0,0,649,71393391
1999-01-01,3,26,47,20,5,15,130,2,239,81,1,-3,48,36,1907,1907,300,13,20,7,0,300,310,0,0,20,23,0,3163,3163,7306530,0,0,80053943,0,0,0,591,80053943
2000-01-01,3,27,47,26,2,14,166,0,246,82,1,-3,54,31,1524,1524,356,14,20,8,0,290,160,0,0,16,18,0,3550,3550,9262824,0,0,75471274,0,0,0,451,75471274
2001-01-01,3,43,51,32,4,14,161,3,242,81,0,-3,51,33,1677,1677,373,14,20,8,0,310,180,0,0,16,22,0,3092,3092,8971191,0,0,75875341,0,0,0,621,75875341
2002-01-01,3,26,38,20,3,18,139,2,248,93,1,-3,28,35,1722,1722,234,14,20,8,0,300,130,0,0,16,19,0,3725,3725,13264613,0,0,115807473,0,0,0,684,115807473
2003-01-01,3,57,43,19,1,8,167,5,269,92,5,-2,36,34,1506,1506,227,14,21,8,0,290,290,0,0,16,20,0,3763,3763,16178266,0,0,142898737,0,0,0,560,142898737
2004-01-01,3,58,38,22,4,16,166,6,289,94,0,-2,44,38,1539,1539,320,14,20,8,0,280,140,0,0,16,20,0,5239,5239,18904827,0,0,186066115,0,0,0,547,186066115
2005-01-01,3,27,58,34,4,4,172,2,291,105,1,-1,40,35,1513,1513,418,15,21,8,0,290,130,0,0,16,20,0,5518,5518,21549501,0,0,202616827,0,0,0,548,202616827
2006-01-01,3,126,55,31,4,11,205,4,275,104,1,-2,46,36,1478,1478,388,15,21,9,0,300,300,0,0,18,22,0,6210,6210,18139410,0,0,231391853,0,0,0,632,231391853
2007-01-01,3,72,36,15,1,14,191,4,247,74,1,-5,41,34,1180,1180,145,15,21,8,0,310,10,0,0,16,22,0,6414,6414,26849004,0,0,312754997,0,0,0,678,312754997
2008-01-01,3,107,40,23,5,9,180,11,283,86,0,-1,53,43,1567,1567,317,14,21,8,0,140,0,0,0,22,0,0,7193,7193,25901993,0,0,309227708,0,0,0,727,309277708
2009-01-01,3,65,40,21,3,8,188,6,273,84,0,-2,28,40,1475,1475,250,14,21,8,0,300,0,0,0,20,0,0,7550,7550,32548050,0,0,344614465,0,0,0,630,344614465
2010-01-01,3,49,70,40,4,5,104,5,303,89,3,-1,81,41,1623,1623,637,14,20,8,0,320,0,0,0,17,0,0,7680,7680,33400333,0,0,392302468,0,0,0,580,392302468
2011-01-01,3,54,49,21,2,13,157,5,255,76,1,-2,88,38,1709,1709,342,14,20,8,0,130,0,0,0,17,0,0,6471,6471,31054354,0,0,366650056,0,0,0,715,366650056
2012-01-01,3,62,45,25,1,11,198,7,156,75,0,-3,30,38,1520,1520,278,15,21,8,0,300,0,0,0,17,0,0,6657,6657,33158502,0,0,393923004,0,0,0,713,393923004
2013-01-01,3,108,23,9,0,16,235,6,88,21,0,-4,20,34,1366,1366,76,15,22,8,0,300,0,0,0,17,0,0,7313,7313,38451754,0,0,426045434,0,0,0,706,426045434
2014-01-01,3,293,33,19,4,1,266,15,84,23,0,0,51,41,933,933,243,17,24,11,0,300,0,0,0,16,0,0,7837,7837,38714793,0,0,464721467,0,0,0,846,464721467
2015-01-01,3,336,34,14,0,4,252,16,228,58,5,-1,15,37,703,703,107,17,23,10,0,300,0,0,0,16,0,0,7895,7895,40627670,0,0,438327559,0,0,0,0,438327559
2016-01-01,3,75,44,26,1,6,195,5,273,83,6,-3,27,38,977,977,303,15,22,9,0,300,0,0,0,17,0,0,8055,8055,41152995,0,0,413999130,0,0,0,0,413999130
2017-01-01,3,174,53,33,2,7,224,9,253,54,5,-2,50,41,1407,1407,362,16,22,9,0,140,130,0,0,20,26,0,8327,8327,42904027,276976,0,457009208,0,0,0,1687,457009208
2018-01-01,3,119,34,20,2,8,224,4,244,73,1,-2,35,35,1099,1099,220,16,22,9,0,300,290,0,0,16,20,0,7579,7579,0,334535,0,478506788,0,0,0,864,478506788
